video,length_hours,dataset_path
Agile Scrum знакомство и легкое погружение,1.62,aanosov/mfdp_youtube_20230523
Avito Analytics meetup 9,1.8,aanosov/mfdp_youtube_20230523
CyberCamp MeetUp Сетевая безопасность,5.51,aanosov/mfdp_youtube_20230523
Design Meetup как дизайн помогает экономить SberMarket Tech,1.94,aanosov/mfdp_youtube_20230523
Intern Backend Meetup С,1.64,aanosov/mfdp_youtube_20230523
Intern Meetup Week Backend C Java Go,1.94,aanosov/mfdp_youtube_20230523
Intern Meetup Week Data Science MLаналитика,1.87,aanosov/mfdp_youtube_20230523
Intern Meetup Week Frontend,2.04,aanosov/mfdp_youtube_20230523
MediaSoft Backend Weekend митап для Junior и Middle backendразработчиков,2.84,aanosov/mfdp_youtube_20230523
ML Party онлайнмитап,1.76,aanosov/mfdp_youtube_20230523
Ozon Tech Community 1С Meetup,2.98,aanosov/mfdp_youtube_20230523
Ozon Tech Community Design Meetup,3.88,aanosov/mfdp_youtube_20230523
Ozon Tech QA Meetup тестируем на Go,2.84,aanosov/mfdp_youtube_20230523
Spring Cloud goes Cloud,2.11,aanosov/mfdp_youtube_20230523
Tinkoff AI NLP Трансляция митапа,1.53,aanosov/mfdp_youtube_20230523
Tinkoff AI RecSys трансляция митапа,2.24,aanosov/mfdp_youtube_20230523
Анализ данных в Pandas Вебинар Анатолия Карпова karpovcourses,1.44,aanosov/mfdp_youtube_20230523
Белорусский ITпапа Как Аркадий Добкин построил компанию на 18 млрд,1.54,aanosov/mfdp_youtube_20230523
Встреча Российской рабочей группы по стандартизации С РГ21 С 16 февраля 2023,2.33,aanosov/mfdp_youtube_20230523
День открытых дверей Ozon Tech Новосибирск,3.42,aanosov/mfdp_youtube_20230523
ЕдаМитап 2021,3.85,aanosov/mfdp_youtube_20230523
Как войти в Engineering Management Будущее русскоязычного ITсообщества Илья Немиро из Wix,2.81,aanosov/mfdp_youtube_20230523
Как воспитать миллиардера Мелия о лидерских качествах детских травмах и ловушках успеха,1.75,aanosov/mfdp_youtube_20230523
Как перейти на Atlassian Service DeskОльга Мухаметзянова Авито,0.49,aanosov/mfdp_youtube_20230523
Как филолог из России стала СOO Visa в Америке Екатерина Петелина 12,1.42,aanosov/mfdp_youtube_20230523
Как хирург построил успешный айтибизнес а потом уехал в Америку начинать с нуля,1.67,aanosov/mfdp_youtube_20230523
какненужноделать митап для менеджеров продуктов Яндекс 2018 запись трансляции,2.94,aanosov/mfdp_youtube_20230523
Конференция Яндекса в Екатеринбурге Технологии для онлайнпродаж,3.24,aanosov/mfdp_youtube_20230523
МИТАП Apache Spark за 2 часа для нетерпеливых 20 апреля 2022г,0.0,aanosov/mfdp_youtube_20230523
Митап from zero to hero,1.63,aanosov/mfdp_youtube_20230523
Митап NoML 6 Про A B тесты и ML модели,2.88,aanosov/mfdp_youtube_20230523
Митап Анализ текстов на языке Python введение в тематическое моделирование,1.89,aanosov/mfdp_youtube_20230523
Митап Бэкенд разработка PHP vs Go go php backend,2.15,aanosov/mfdp_youtube_20230523
Митап Джуниоров 4,2.45,aanosov/mfdp_youtube_20230523
Митап Задачи ITрекрутера как превратить кандидата в сотрудника,1.6,aanosov/mfdp_youtube_20230523
Митап Инфраструктура на отечественном Backup порусски и не только,2.11,aanosov/mfdp_youtube_20230523
Митап ИТМО говорит ChatGPT да,1.48,aanosov/mfdp_youtube_20230523
Научный митап Yandex Research,1.88,aanosov/mfdp_youtube_20230523
Нашлось не все эксглава ЯндексНовостей об истории сервиса цензуре и создании The True Story,1.5,aanosov/mfdp_youtube_20230523
Николай Давыдов о сделке MSQRD с Facebook проекте после фильма Дудя и панических атаках инвесторов,1.65,aanosov/mfdp_youtube_20230523
Основатель ВкусВилла Андрей Кривенко о единороге без бюджета обмане покупателей и серой колбасе,1.7,aanosov/mfdp_youtube_20230523
Отчёты Atlassian Service Desk Ольга Николаева Toolstrek,0.44,aanosov/mfdp_youtube_20230523
Путь в преподавание Тимофея Хирьянова Окончить МФТИ и не сойти с ума,3.24,aanosov/mfdp_youtube_20230523
Разработка БАЗ ДАННЫХ Как готовят Oracle в Спортмастере Максим Пермяков,1.3,aanosov/mfdp_youtube_20230523
Сооснователь Sportsru спортсмены под санкциями протесты в Беларуси и главный редактор Юрий Дудь,2.14,aanosov/mfdp_youtube_20230523
Хочу стать легендой в этом бизнесе Богуславский о Яндексе Ozon и нелюбви к званию миллиардера,1.57,aanosov/mfdp_youtube_20230523
Юрий Мильнер о космических инвестициях Дурове и соцсетях,2.62,aanosov/mfdp_youtube_20230523
15 теоретических вопросов для начинающего Python программиста на собеседовании и 1 задача,0.97,aanosov/mfdp_youtube_20230528
8000 ЗА КОД НА HASKELL Фримонады ваше всё Интервью с адептом haskell Александром Граниным,2.11,aanosov/mfdp_youtube_20230528
Big data дополненная реальность и компьютерное зрение Интервью с Data Scientist,2.14,aanosov/mfdp_youtube_20230528
Cобеседование Junior Frontend разработчика сразу после учебных курсов Вёрстка JS event loop,1.26,aanosov/mfdp_youtube_20230528
Docker непрерывная интеграция и плоская земля Интервью с DevOps Engineer,1.75,aanosov/mfdp_youtube_20230528
Frontend разработчик публичное собеседование Хекслет,0.93,aanosov/mfdp_youtube_20230528
PHP программист публичное собеседование Хекслет,1.4,aanosov/mfdp_youtube_20230528
Алгоритмы рекомендации МУЗЫКИ Яндекс Музыка под капотом Интервью с Даней Бурлаковым,2.48,aanosov/mfdp_youtube_20230528
Всё об iOS разработке Сила soft skills Интервью с Senior iOS Developer,1.35,aanosov/mfdp_youtube_20230528
Всё про автоматизацию тестирования игр QA Automation TechLead из Wargaming,1.7,aanosov/mfdp_youtube_20230528
Встраивание ИИ в наш МОЗГ Нейроинтерфейсы будущего СИНГУЛЯРНОСТЬ БЛИЗКО,1.92,aanosov/mfdp_youtube_20230528
Жив ли Ruby О комьюнити и Рельсы Всё о Ruby Интервью с Senior Ruby Developer,1.97,aanosov/mfdp_youtube_20230528
Из ЛИНГВИСТА в ПРОЕКТНЫЕ МЕНЕДЖЕРЫ Ещё раз про Project Management,2.1,aanosov/mfdp_youtube_20230528
Из питониста во фронтендеры собеседуем джуниора с бэкенд опытом Микротаски промисы и лайвкодинг,1.96,aanosov/mfdp_youtube_20230528
Из Ульяновска в Кремниевую Долину Сетки полигоны и 3D графика Интервью Максом Михеенко,2.14,aanosov/mfdp_youtube_20230528
Как устроены ПРОЦЕССОРЫ Удаленный доступ через Intel vPro Интервью с инженером Intel,2.47,aanosov/mfdp_youtube_20230528
Мок интервью для джуна фронтендера собеседование с лайвкодингом,1.22,aanosov/mfdp_youtube_20230528
Публичное собеседование middle iOS разработчик Хекслет Podlodka iOS Crew,1.72,aanosov/mfdp_youtube_20230528
Публичное собеседование Python программист Хекслет,1.47,aanosov/mfdp_youtube_20230528
Публичное собеседование фронтендер Хекслет CSSSR,1.4,aanosov/mfdp_youtube_20230528
СИЛА Функционального Программирования Всё о Scala Интервью со Scala Developer Олегом Нижниковым,1.75,aanosov/mfdp_youtube_20230528
Сложно ли войти в QA в 2023 Из тестировщика молочной продукции в IT Артём Русов,0.93,aanosov/mfdp_youtube_20230528
Собеседование frontend разработчика для X5Tech,2.49,aanosov/mfdp_youtube_20230528
Собеседование python разработчика для Авито,2.05,aanosov/mfdp_youtube_20230528
Собеседование senior backend разработчика Node js,2.24,aanosov/mfdp_youtube_20230528
Собеседование Мидл фулстек Redux JS Вопросы о GET и POST Бесконечные крестики нолики,1.04,aanosov/mfdp_youtube_20230528
Собеседование на JUNIOR RUBY разработчика RoR разработчик,1.2,aanosov/mfdp_youtube_20230528
Собственная ДОМЕННАЯ ЗОНА Держатели зон BY и БЕЛ Интервью с СЕО hoster by Сергеем Повалишевым,1.88,aanosov/mfdp_youtube_20230528
